실행번호,Claim번호,대표문제,개선전상태,개선전단계,개선전사유,개선후상태,개선후단계,개선후사유,개선판정,공식근거확인,공식통계표,공식값출처,코드버전,데이터버전,기록시각
context-002-time,A00006_10,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00006_13,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,PARTIAL_CHILD_ADMISSION,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00006_19,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,PASS,CLAIM_PARSE,KOSIS_PIPELINE_ELIGIBLE,IMPROVED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00006_8,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00018_3,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00018_9,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00023_6,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,PARTIAL_CHILD_ADMISSION,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00029_14,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00029_16,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00029_17,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00029_3,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00030_14,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,STRUCTURAL_HOLD,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00041_5,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,PARTIAL_CHILD_ADMISSION,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00041_7,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,UNCHANGED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
context-002-time,A00049_8,CONTEXT,HUMAN_REVIEW,CLAIM_PARSE,CONTEXT_REQUIRED,PASS,CLAIM_PARSE,KOSIS_PIPELINE_ELIGIBLE,IMPROVED,아니오,,,0b5bc43,53f0d803c22f3aaf1e805eac5b39619df3a4957e514db196bf616c25283fbdc1,2026-08-23T01:53:20.310493+00:00
